2025-06-10 23:46:53 status half-installed liblsan0:amd64 12.2.0-14+deb12u1
2025-06-10 23:46:53 status unpacked liblsan0:amd64 12.2.0-14+deb12u1
2025-06-10 23:46:53 install libtsan2:amd64 <none> 12.2.0-14+deb12u1
2025-06-10 23:46:53 status half-installed libtsan2:amd64 12.2.0-14+deb12u1
2025-06-10 23:46:53 status unpacked libtsan2:amd64 12.2.0-14+deb12u1
2025-06-10 23:46:53 install libubsan1:amd64 <none> 12.2.0-14+deb12u1
2025-06-10 23:46:53 status half-installed libubsan1:amd64 12.2.0-14+deb12u1
2025-06-10 23:46:53 status unpacked libubsan1:amd64 12.2.0-14+deb12u1
2025-06-10 23:46:53 install libquadmath0:amd64 <none> 12.2.0-14+deb12u1
2025-06-10 23:46:53 status half-installed libquadmath0:amd64 12.2.0-14+deb12u1
2025-06-10 23:46:53 status unpacked libquadmath0:amd64 12.2.0-14+deb12u1
2025-06-10 23:46:53 install libgcc-12-dev:amd64 <none> 12.2.0-14+deb12u1
2025-06-10 23:46:53 status half-installed libgcc-12-dev:amd64 12.2.0-14+deb12u1
2025-06-10 23:46:53 status unpacked libgcc-12-dev:amd64 12.2.0-14+deb12u1
2025-06-10 23:46:53 install gcc-12:amd64 <none> 12.2.0-14+deb12u1
2025-06-10 23:46:53 status half-installed gcc-12:amd64 12.2.0-14+deb12u1
2025-06-10 23:46:54 status unpacked gcc-12:amd64 12.2.0-14+deb12u1
2025-06-10 23:46:54 install gcc:amd64 <none> 4:12.2.0-3
2025-06-10 23:46:54 status half-installed gcc:amd64 4:12.2.0-3
2025-06-10 23:46:54 status unpacked gcc:amd64 4:12.2.0-3
2025-06-10 23:46:54 install gnupg-l10n:all <none> 2.2.40-1.1
2025-06-10 23:46:54 status half-installed gnupg-l10n:all 2.2.40-1.1
2025-06-10 23:46:54 status unpacked gnupg-l10n:all 2.2.40-1.1
2025-06-10 23:46:54 install gnupg-utils:amd64 <none> 2.2.40-1.1
2025-06-10 23:46:54 status half-installed gnupg-utils:amd64 2.2.40-1.1
2025-06-10 23:46:54 status unpacked gnupg-utils:amd64 2.2.40-1.1
2025-06-10 23:46:54 install libsqlite3-0:amd64 <none> 3.40.1-2+deb12u1
2025-06-10 23:46:54 status half-installed libsqlite3-0:amd64 3.40.1-2+deb12u1
2025-06-10 23:46:54 status unpacked libsqlite3-0:amd64 3.40.1-2+deb12u1
2025-06-10 23:46:54 install gpg:amd64 <none> 2.2.40-1.1
2025-06-10 23:46:54 status half-installed gpg:amd64 2.2.40-1.1
2025-06-10 23:46:54 status unpacked gpg:amd64 2.2.40-1.1
2025-06-10 23:46:54 install libncursesw6:amd64 <none> 6.4-4
2025-06-10 23:46:54 status half-installed libncursesw6:amd64 6.4-4
2025-06-10 23:46:54 status unpacked libncursesw6:amd64 6.4-4
2025-06-10 23:46:54 install pinentry-curses:amd64 <none> 1.2.1-1
2025-06-10 23:46:54 status half-installed pinentry-curses:amd64 1.2.1-1
2025-06-10 23:46:54 status unpacked pinentry-curses:amd64 1.2.1-1
2025-06-10 23:46:54 install gpg-agent:amd64 <none> 2.2.40-1.1
2025-06-10 23:46:54 status half-installed gpg-agent:amd64 2.2.40-1.1
2025-06-10 23:46:54 status unpacked gpg-agent:amd64 2.2.40-1.1
2025-06-10 23:46:54 install gpg-wks-client:amd64 <none> 2.2.40-1.1
2025-06-10 23:46:54 status half-installed gpg-wks-client:amd64 2.2.40-1.1
2025-06-10 23:46:54 status unpacked gpg-wks-client:amd64 2.2.40-1.1
2025-06-10 23:46:54 install gpg-wks-server:amd64 <none> 2.2.40-1.1
2025-06-10 23:46:54 status half-installed gpg-wks-server:amd64 2.2.40-1.1
2025-06-10 23:46:54 status unpacked gpg-wks-server:amd64 2.2.40-1.1
2025-06-10 23:46:54 install gpgsm:amd64 <none> 2.2.40-1.1
2025-06-10 23:46:54 status half-installed gpgsm:amd64 2.2.40-1.1
2025-06-10 23:46:54 status unpacked gpgsm:amd64 2.2.40-1.1
2025-06-10 23:46:54 install gnupg:all <none> 2.2.40-1.1
2025-06-10 23:46:54 status half-installed gnupg:all 2.2.40-1.1
2025-06-10 23:46:54 status unpacked gnupg:all 2.2.40-1.1
2025-06-10 23:46:54 install libbluetooth3:amd64 <none> 5.66-1+deb12u2
2025-06-10 23:46:54 status half-installed libbluetooth3:amd64 5.66-1+deb12u2
2025-06-10 23:46:54 status unpacked libbluetooth3:amd64 5.66-1+deb12u2
2025-06-10 23:46:54 install libc-dev-bin:amd64 <none> 2.36-9+deb12u10
2025-06-10 23:46:54 status half-installed libc-dev-bin:amd64 2.36-9+deb12u10
2025-06-10 23:46:54 status unpacked libc-dev-bin:amd64 2.36-9+deb12u10
2025-06-10 23:46:54 install linux-libc-dev:amd64 <none> 6.1.140-1
2025-06-10 23:46:54 status half-installed linux-libc-dev:amd64 6.1.140-1
2025-06-10 23:46:54 status unpacked linux-libc-dev:amd64 6.1.140-1
2025-06-10 23:46:54 install libcrypt-dev:amd64 <none> 1:4.4.33-2
2025-06-10 23:46:54 status half-installed libcrypt-dev:amd64 1:4.4.33-2
2025-06-10 23:46:54 status unpacked libcrypt-dev:amd64 1:4.4.33-2
2025-06-10 23:46:55 install libkrb5support0:amd64 <none> 1.20.1-2+deb12u3
2025-06-10 23:46:55 status half-installed libkrb5support0:amd64 1.20.1-2+deb12u3
2025-06-10 23:46:55 status unpacked libkrb5support0:amd64 1.20.1-2+deb12u3
